accession	label	description	clean_header	length	n_count
X15693.1	Barley m	Barley mRNA for chloroplast high molecular mass early light-inducible protein (ELIP) (clone HV58)	X15693.1 Barley m	860	0
X15691.1	Barley m	Barley mRNA for chloroplast low molecular mass early light-inducible protein (ELIP) (clone HV60)	X15691.1 Barley m	764	0
X15692.1	Barley m	Barley mRNA for chloroplast low molecular mass early light-inducible protein (ELIP) (clone HV90)	X15692.1 Barley m	660	0
X05587.1	Barley m	Barley mRNA for leaf-specific thionin (clone DC4)	X05587.1 Barley m	658	0
X05588.1	Barley m	Barley mRNA for leaf-specific thionin (clone DF2)	X05588.1 Barley m	453	0
X05589.1	Barley m	Barley mRNA for leaf-specific thionin (clone DG3)	X05589.1 Barley m	544	0
X05590.1	Barley m	Barley mRNA for leaf-specific thionin (clone DD3)	X05590.1 Barley m	491	0
X55684.1	Tomato extensin	Tomato extensin mRNA (clone uG)	X55684.1 Tomato extensin	940	0
X55681.1	Tomato extensin	Tomato extensin mRNA (clone w17-1)	X55681.1 Tomato extensin	459	0
X55690.1	Tomato m	Tomato mRNA for a glycine-rich protein (clone uE-7)	X55690.1 Tomato m	385	0
X55691.1	Tomato m	Tomato mRNA for a glycine-rich protein (clone w1-8)	X55691.1 Tomato m	619	0
X55692.1	Tomato extensin	Tomato extensin mRNA (clone w1-8 L)	X55692.1 Tomato extensin	619	0
X55694.1	Tomato extensin	Tomato extensin mRNA (clone w10-1 L)	X55694.1 Tomato extensin	402	0
X55696.1	Tomato m	Tomato mRNA for a glycine-rich protein (clone uK-4)	X55696.1 Tomato m	404	0
X55682.1	Tomato extensin	Tomato extensin mRNA (clone wY)	X55682.1 Tomato extensin	357	0
X55686.1	Tomato extensin	Tomato extensin mRNA (clone uJ-2)	X55686.1 Tomato extensin	309	0
X55688.1	Tomato m	Tomato mRNA for a glycine-rich protein (clone wM)	X55688.1 Tomato m	693	0
X55689.1	Tomato m	Tomato mRNA for a glycine-rich protein (clone wN)	X55689.1 Tomato m	586	0
NM_001247109.1	Solanum lycopersicum	Solanum lycopersicum TAS14 peptide (AA 1-130) (TAS14), mRNAX51904.1 Lycopersicon esculentum TAS14 mRNA inducible by abscisic acid and environmental stress	NM_001247109.1 Solanum lycopersicum	746	0
X00137.1	Lemna gibba	Lemna gibba ribulose 1.5-bisphospate carboxylase small subunit (cDNA clone pLg ssu1)	X00137.1 Lemna gibba	776	0
X59930.1	M.falcata mRNA	M.falcata mRNA for environmental stress and abscisic acid inducible protein	X59930.1 M.falcata mRNA	679	0
X65494.1	Malus (unidentified	Malus (unidentified species of crab apple) mRNA for rubisco-1,5-bisphosphate carboxylase	X65494.1 Malus (unidentified	853	0
X13288.1	M.sativa mRNA	M.sativa mRNA for nodulin-25 (clone 386i)	X13288.1 M.sativa mRNA	809	0
X13289.1	Medicago sativa	Medicago sativa mRNA for nodulin-25 (clone 910)	X13289.1 Medicago sativa	961	0
X58501.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY1 clone)	X58501.1 N.rustica cytoplasmic	410	0
X58510.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY10 clone)	X58510.1 N.rustica cytoplasmic	491	0
X58511.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY11 clone)	X58511.1 N.rustica cytoplasmic	458	0
X58512.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY12 clone)	X58512.1 N.rustica cytoplasmic	404	0
X58513.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY13 clone)	X58513.1 N.rustica cytoplasmic	452	0
X58502.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr pseudogene (pNtY2 clone)	X58502.1 N.rustica cytoplasmic	386	0
X58503.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY3 clone)	X58503.1 N.rustica cytoplasmic	445	0
X58504.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNAC-tyr gene (pNtY4 clone)	X58504.1 N.rustica cytoplasmic	488	0
X58505.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY5 clone)	X58505.1 N.rustica cytoplasmic	412	0
X58506.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY6 clone)	X58506.1 N.rustica cytoplasmic	393	0
X58507.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY7 clone)	X58507.1 N.rustica cytoplasmic	359	0
X58508.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY8 clone)	X58508.1 N.rustica cytoplasmic	435	0
X58509.1	N.rustica cytoplasmic	N.rustica cytoplasmic tRNA-tyr gene (pNtY9 clone)	X58509.1 N.rustica cytoplasmic	419	0
X53856.1	O. sativa	O. sativa mRNA for prolamin (clone pS23)	X53856.1 O. sativa	609	0
X53857.1	O. sativa	O. sativa mRNA for prolamin (clone pX24)	X53857.1 O. sativa	596	0
X07928.1	Petunia hybrida	Petunia hybrida gene for 5S ribosomal RNA clone pHWH5c	X07928.1 Petunia hybrida	463	0
X07929.1	Petunia hybrida	Petunia hybrida gene for 5S ribosomal RNA clone pHWH5b	X07929.1 Petunia hybrida	461	0
X07930.1	Petunia hybrida	Petunia hybrida gene for 5S ribosomal RNA clone pHWH5a	X07930.1 Petunia hybrida	461	0
X65154.1	P.sativum GA	P.sativum GA mRNA (clone A)	X65154.1 P.sativum GA	575	0
X67423.1	Pisum sativum	Pisum sativum legK gene (clone lambda LegJ2)	X67423.1 Pisum sativum	3385	0
X15926.1	Pea U1	Pea U1 snRNA (clone pPSU1.1)	X15926.1 Pea U1	162	0
X15927.1	Pea U1	Pea U1 snRNA (clone pPSU1.2)	X15927.1 Pea U1	160	0
X15928.1	Pea U1	Pea U1 snRNA (clone pPSU1.3)	X15928.1 Pea U1	160	0
X15929.1	Pea U2	Pea U2 snRNA (clone pPSU2.1)	X15929.1 Pea U2	194	0
XR_007794230.1	Pisum sativum	PREDICTED: Pisum sativum U2 spliceosomal RNA (LOC127099757), ncRNAX15930.1 Pea U2 snRNA (clone pPSU2.2)	XR_007794230.1 Pisum sativum	195	0
X15931.1	Pea U4	Pea U4 snRNA (clone pPSUN4.1)	X15931.1 Pea U4	152	0
X15932.1	Pea U4	Pea U4 snRNA (clone pPSU4.2)	X15932.1 Pea U4	152	0
X15933.1	Pea U4	Pea U4 snRNA (clone pPSU4.3)	X15933.1 Pea U4	150	0
X15934.1	Pea U5	Pea U5 snRNA (clone pPSU5.3)	X15934.1 Pea U5	122	0
X15935.1	Pea U5	Pea U5 snRNA (clone pPSU5.4)	X15935.1 Pea U5	122	0
X60000.1	P.vulgaris rbcS	P.vulgaris rbcS mRNA for small subunit of ribulose bisphosphate carboxylase/oxygenase (clone pPvSS191)	X60000.1 P.vulgaris rbcS	849	0
X59999.1	P.vulgaris rbcS	P.vulgaris rbcS mRNA for small subunit of ribulose bisphosphate carboxylase/oxygenase (clone pPvSS965)	X59999.1 P.vulgaris rbcS	591	0
X63736.1	S.brevidens repetitive	S.brevidens repetitive DNA sequence (clone pSB1)	X63736.1 S.brevidens repetitive	322	0
X63737.1	S.brevidens repetitive	S.brevidens repetitive DNA sequence (clone pSB7)	X63737.1 S.brevidens repetitive	167	0
X69133.1	S.officinalis (clone	S.officinalis (clone G-4) gene for saporin	X69133.1 S.officinalis (clone	794	0
X51463.1	Spinach m	Spinach mRNA for thioredoxin m (clone p6SocTRM-4)	X51463.1 Spinach m	893	0
X63738.1	S.tuberosum repetitive	S.tuberosum repetitive DNA sequence (clone pST3)	X63738.1 S.tuberosum repetitive	845	0
X63739.1	S.tuberosum repetitive	S.tuberosum repetitive DNA sequence (clone pST10)	X63739.1 S.tuberosum repetitive	121	0
X60396.1	S.tuberosum promoter	S.tuberosum promoter region and partial gene for patatin (clone B24)	X60396.1 S.tuberosum promoter	1407	0
X60398.1	S.tuberosum promoter	S.tuberosum promoter region and partial gene for patatin (clone pgT12)	X60398.1 S.tuberosum promoter	1180	0
X60399.1	S.tuberosum promoter	S.tuberosum promoter region and partial gene for patatin (clone pgT16)	X60399.1 S.tuberosum promoter	1391	0
X60397.1	S.tuberosum promoter	S.tuberosum promoter region and partial gene for patatin (clone pgT4)	X60397.1 S.tuberosum promoter	1611	0
X52416.1	S.tuberosum waxy	S.tuberosum waxy gene for starch synthase (clone G1WxSt)	X52416.1 S.tuberosum waxy	1203	0
X52417.1	S.tuberosum waxy	S.tuberosum waxy gene for starch synthase (clone G28WxSt)	X52417.1 S.tuberosum waxy	1335	0
Z11419.1	Triticum aestivum	T.aestivum 5S DNAZ11452.1 Triticum aestivum L. 5S DNAAF150604.1 Triticum aestivum clone TRS89-08 5S ribosomal RNA gene, complete sequenceAF150610.1 Triticum aestivum clone TRS91-14 5S ribosomal RNA gene, complete sequenceFJ882433.1 Aegilops longissima x Aegilops tauschii clone TRIT882-4 5S ribosomal RNA gene, complete sequenceFJ882498.1 Triticum turgidum subsp. durum x Aegilops sharonensis clone TRIT885-1 5S ribosomal RNA gene, complete sequenceFJ882500.1 Triticum turgidum subsp. durum x Aegilops sharonensis clone TRIT885-3 5S ribosomal RNA gene, complete sequenceFJ882501.1 Triticum turgidum subsp. durum x Aegilops sharonensis clone TRIT885-4 5S ribosomal RNA gene, complete sequenceFJ882504.1 Triticum turgidum subsp. durum x Aegilops sharonensis clone TRIT886-4 5S ribosomal RNA gene, complete sequenceFJ882506.1 Triticum turgidum subsp. durum x Aegilops sharonensis clone TRIT886-8 5S ribosomal RNA gene, complete sequence	Z11419.1 Triticum aestivum	416	0
X54517.1	Wheat alpha	Wheat alpha-gliadin pseudogene (clone CNN16)	X54517.1 Wheat alpha	3581	0
X54689.1	Wheat alpha	Wheat alpha-gliadin pseudogene (clone CNNE17)	X54689.1 Wheat alpha	3566	0
X54688.1	Wheat alpha	Wheat alpha-gliadin pseudogene (clone CNN35)	X54688.1 Wheat alpha	3573	0
X04532.1	Wheat m	Wheat mRNA fragment for seed storage protein (clone PTAF4)	X04532.1 Wheat m	684	0
X00234.1	Wheat m	Wheat mRNA fragment for small subunit precursor of RuBPCase (EC 4.1.1.39) (ribulosebisphosphate carboxylase, clone 512)	X00234.1 Wheat m	611	0
X51731.1	Triticum aestivum	Triticum aestivum DNA for tRNA-Tyr,(clone pTtY1)	X51731.1 Triticum aestivum	210	0
X51732.1	Triticum aestivum	Triticum aestivum DNA for tRNA-Tyr (clone pTtY2)	X51732.1 Triticum aestivum	210	0
X69328.1	T.aestivum (clone	T.aestivum (clone pTAU1.2) U1 snRNA	X69328.1 T.aestivum (clone	159	0
X69329.1	T.aestivum (clone	T.aestivum (clone pTAU1.1) U1 snRNA	X69329.1 T.aestivum (clone	161	0
X69331.1	T.aestivum (clone	T.aestivum (clone pTAU1.6) U1 snRNA	X69331.1 T.aestivum (clone	139	0
X69332.1	T.aestivum (clone	T.aestivum (clone pTAU1.4) U1 snRNA	X69332.1 T.aestivum (clone	142	0
X69333.1	T.aestivum (clone	T.aestivum (clone pTAU1.3) U1 snRNA	X69333.1 T.aestivum (clone	158	0
X69334.1	T.aestivum (clone	T.aestivum (clone pTAU1.5) U1 snRNA	X69334.1 T.aestivum (clone	161	0
X69326.1	T.aestivum (clone	T.aestivum (clone pTAU2.2) U2 snRNA	X69326.1 T.aestivum (clone	194	0
X69327.1	T.aestivum (clone	T.aestivum (clone pTAU2.3) U2 snRNA	X69327.1 T.aestivum (clone	196	0
X69330.1	Triticum aestivum	T.aestivum (clone pTAU2.1) U2 snRNAS72337.1 (wU2.1)=U2 snRNA [Triticum aestivum=wheat, snRNA, 194 nt]	X69330.1 Triticum aestivum	194	0
X58702.1	T.repens DNA	T.repens DNA for tandem repeat region, clone pTrR350.2	X58702.1 T.repens DNA	347	0
X58701.1	T.repens DNA	T.repens DNA for tandem repeat region, clone pTrR350.1	X58701.1 T.repens DNA	347	0
X58703.1	T.repens DNA	T.repens DNA for tandem repeat region, clone pTrR700.1	X58703.1 T.repens DNA	693	0
X58704.1	T.repens DNA	T.repens DNA for tandem repeat region, clone pTrR700.2	X58704.1 T.repens DNA	694	0
X51618.1	V.unguiculata RNA	V.unguiculata RNA for trypsin inhibitor cloned in pUSSRd4/6	X51618.1 V.unguiculata RNA	377	0
X53607.1	Z.diploperennis repetitive	Z.diploperennis repetitive DNA (clone ZEAH 231)	X53607.1 Z.diploperennis repetitive	231	0
X53608.1	Z.diploperennis repetitive	Z.diploperennis repetitive DNA (clone ZEAR 237)	X53608.1 Z.diploperennis repetitive	237	0
X53609.1	Z.diploperennis repetitive	Z.diploperennis repetitive DNA (clone ZEAR 260)	X53609.1 Z.diploperennis repetitive	260	0
X53610.1	Z.diploperennis repetitive	Z.diploperennis repetitive DNA (clone ZEAR 266)	X53610.1 Z.diploperennis repetitive	266	0
X53611.1	Z.diploperennis repetitive	Z.diploperennis repetitive DNA (clone ZEAR 270)	X53611.1 Z.diploperennis repetitive	270	0
X54212.1	Z.mays mRNA	Z.mays mRNA for b-32 protein, putative regulatory factor of zein expression (clone b-32.120)	X54212.1 Z.mays mRNA	3093	0
X70153.1	Z.mays mRNA	Z.mays mRNA for b-32 protein, putative regulatory factor of zein expression (clone b-32.129)	X70153.1 Z.mays mRNA	2741	0
X70154.1	Z.mays mRNA	Z.mays mRNA for b-32 protein, putative regulatory factor of zein expression (clone b-32.152)	X70154.1 Z.mays mRNA	1826	0
X14581.1	Maize phosphoenolpyruvate	Maize phosphoenolpyruvate carboxylase gene 5'flanking region (EC 4.1.1.31) clone M21	X14581.1 Maize phosphoenolpyruvate	1182	0
X14579.1	Maize C4-type	Maize C4-type phosphoenolpyruvate carboxylase gene 5'flanking region (EC 4.1.1.31) clone M324	X14579.1 Maize C4-type	1108	0
X14580.1	Maize phosphoenolpyruvate	Maize phosphoenolpyruvate carboxylase gene 5'flanking region (EC 4.1.1.31) clone M91	X14580.1 Maize phosphoenolpyruvate	1185	0
X57743.1	Z.mays mRNA	Z.mays mRNA for polygalacturonase (clone PG3)	X57743.1 Z.mays mRNA	1555	0
X57575.1	Z.mays mRNA	Z.mays mRNA for polygalacturonase (clone PG4)	X57575.1 Z.mays mRNA	714	0
X62384.1	Z.mays gene	Z.mays gene for polygalacturonase (clone 47)	X62384.1 Z.mays gene	918	0
X62383.1	Z.mays gene	Z.mays gene for polygalacturonase (clone 65)	X62383.1 Z.mays gene	591	0
X57274.1	Z.mays pollen	Z.mays pollen specific mRNA C-terminal (clone 3C12)	X57274.1 Z.mays pollen	1245	0
X57275.1	Z.mays pollen	Z.mays pollen specific mRNA C-terminal (clone 4H7)	X57275.1 Z.mays pollen	837	0
V01472.1	Zea mays	Zea mays gene encoding a zein (clone Z4)	V01472.1 Zea mays	1364	0
V01473.1	Zea mays	Zea mays mRNA encoding a zein (clone ZG31A)	V01473.1 Zea mays	734	0
V01474.1	Zea mays	Zea mays gene encoding a zein (clone zA1)	V01474.1 Zea mays	1218	0
V01475.1	Zea mays	Zea mays mRNA encoding a zein (clone zA1)	V01475.1 Zea mays	943	0
V01476.1	Zea mays	Zea mays mRNA encoding a zein (clone A20)	V01476.1 Zea mays	921	0
V01477.1	Zea mays	Zea mays mRNA fragment encoding a zein (clone B49)	V01477.1 Zea mays	467	0
V01479.1	Zea mays	Zea mays mRNA encoding a zein (clone ZG99)	V01479.1 Zea mays	862	0
X02450.1	Maize m	Maize mRNA for zein polypeptide (clone M6)	X02450.1 Maize m	931	0
X06935.1	Maize DNA	Maize DNA for maximal expression of zein (Mr 19000) gene (clone gZ19ab1)	X06935.1 Maize DNA	300	0
V01481.1	Maize m	Maize mRNA (clone A30) for zein (a plant storage protein)	V01481.1 Maize m	794	0
X60376.1	B. napus	B. napus CEX mRNA for a novel proline-rich protein	X60376.1 B. napus	1383	0
X60377.1	A.thaliana APG	A.thaliana APG gene encoding a novel proline-rich protein	X60377.1 A.thaliana APG	3932	0
X03835.1	Cebus apella	Cebus apella DNA interacting with antibodies to Z-DNA (clone pCH11) (satellite DNA 1520 bp repeat HaeIII fragment of R-positive heterochromatin segments of fixed metaphase chromosomes)	X03835.1 Cebus apella	1112	0
X03836.1	Cebus apella	Cebus apella DNA interacting with antibodies to Z-DNA (clone pCH21) (=satellite DNA 1520 bp repeat HaeIII fragment of R-positive heterochromatin segments of fixed metaphase chromosomes)	X03836.1 Cebus apella	250	0
X03837.1	Cebus apella	Cebus apella DNA interacting with antibodies to Z-DNA (clone pCH31) (=satellite DNA 1520 bp repeat HaeIII fragment of R-positive heterochromatin segments of fixed metaphase chromosomes)	X03837.1 Cebus apella	161	0
Z16424.1	H. sapiens	H. sapiens (D9S152) DNA segment containing (CA) repeat; clone AFM015ya5; single read	Z16424.1 H. sapiens	197	0
Z16425.1	H. sapiens	H. sapiens (D21S259) DNA segment containing (CA) repeat; clone AFM016xe5; single read	Z16425.1 H. sapiens	421	0
Z16427.1	H. sapiens	H. sapiens (D2S110) DNA segment containing (CA) repeat; clone AFM016yc5; single read	Z16427.1 H. sapiens	354	0
Z16431.1	H. sapiens	H. sapiens (D2S111) DNA segment containing (CA) repeat; clone AFM021tc1; single read	Z16431.1 H. sapiens	135	0
Z16432.1	H. sapiens	H. sapiens (D11S899) DNA segment containing (CA) repeat; clone AFM022th2; single read	Z16432.1 H. sapiens	202	0
Z16449.1	H. sapiens	H. sapiens (D20S96) DNA segment containing (CA) repeat; clone AFM029yc3; single read	Z16449.1 H. sapiens	193	0
Z16454.1	H. sapiens	H. sapiens (D6S258) DNA segment containing (CA) repeat; clone AFM031yh12; single read	Z16454.1 H. sapiens	332	0
Z16456.1	H. sapiens	H. sapiens (D2S112) DNA segment containing (CA) repeat; clone AFM032xg5; single read	Z16456.1 H. sapiens	261	0
Z16457.1	H. sapiens	H. sapiens (D6S259) DNA segment containing (CA) repeat; clone AFM035wc1; single read	Z16457.1 H. sapiens	292	0
Z16458.1	H. sapiens	H. sapiens (D1S189) DNA segment containing (CA) repeat; clone AFM036xc5; single read	Z16458.1 H. sapiens	221	0
Z16459.1	H. sapiens	H. sapiens (D4S393) DNA segment containing (CA) repeat; clone AFM036xg11; single read	Z16459.1 H. sapiens	242	0
Z16461.1	H. sapiens	H. sapiens (D18S53) DNA segment containing (CA) repeat; clone AFM036ya1; single read	Z16461.1 H. sapiens	240	0
Z16463.1	H. sapiens	H. sapiens (D3S1259) DNA segment containing (CA) repeat; clone AFM036yb8; single read	Z16463.1 H. sapiens	236	0
Z16465.1	H. sapiens	H. sapiens (D4S394) DNA segment containing (CA) repeat; clone AFM037yg1; single read	Z16465.1 H. sapiens	357	0
Z16472.1	H. sapiens	H. sapiens (D17S784) DNA segment containing (CA) repeat; clone AFM044xg3; single read	Z16472.1 H. sapiens	304	0
Z16474.1	H. sapiens	H. sapiens (D4S395) DNA segment containing (CA) repeat; clone AFM046xd4; single read	Z16474.1 H. sapiens	244	0
Z16478.1	H. sapiens	H. sapiens (D7S481) DNA segment containing (CA) repeat; clone AFM049xe3; single read	Z16478.1 H. sapiens	251	0
Z16480.1	H. sapiens	H. sapiens (D9S156) DNA segment containing (CA) repeat; clone AFM051xd6; single read	Z16480.1 H. sapiens	232	0
Z16481.1	H. sapiens	H. sapiens (D20S99) DNA segment containing (CA) repeat; clone AFM051xf12; single read	Z16481.1 H. sapiens	268	0
Z16483.1	H. sapiens	H. sapiens (D2S113) DNA segment containing (CA) repeat; clone AFM052xb4; single read	Z16483.1 H. sapiens	254	0
Z16490.1	H. sapiens	H. sapiens (D1S193) DNA segment containing (CA) repeat; clone AFM057xf4; single read	Z16490.1 H. sapiens	128	0
Z16491.1	H. sapiens	H. sapiens (D1S194) DNA segment containing (CA) repeat; clone AFM057xf8; single read	Z16491.1 H. sapiens	261	0
Z16492.1	H. sapiens	H. sapiens (D5S394) DNA segment containing (CA) repeat; clone AFM057xh8; single read	Z16492.1 H. sapiens	188	0
Z16494.1	H. sapiens	H. sapiens (D13S153) DNA segment containing (CA) repeat; clone AFM058xd6; single read	Z16494.1 H. sapiens	261	0
Z16498.1	H. sapiens	H. sapiens (D6S261) DNA segment containing (CA) repeat; clone AFM059xh8; single read	Z16498.1 H. sapiens	120	0
Z16499.1	H. sapiens	H. sapiens (D11S900) DNA segment containing (CA) repeat; clone AFM059yc5; single read	Z16499.1 H. sapiens	133	0
Z16500.1	H. sapiens	H. sapiens (D6S262) DNA segment containing (CA) repeat; clone AFM059yd6; single read	Z16500.1 H. sapiens	229	0
Z16502.1	H. sapiens	H. sapiens (D10S189) DNA segment containing (CA) repeat; clone AFM063xf4; single read	Z16502.1 H. sapiens	383	0
Z16504.1	H. sapiens	H. sapiens (D5S395) DNA segment containing (CA) repeat; clone AFM063yb6; single read	Z16504.1 H. sapiens	361	0
Z16506.1	H. sapiens	H. sapiens (D2S116) DNA segment containing (CA) repeat; clone AFM064xh7; single read	Z16506.1 H. sapiens	192	0
Z16507.1	H. sapiens	H. sapiens (D13S154) DNA segment containing (CA) repeat; clone AFM065xe9; single read	Z16507.1 H. sapiens	355	0
Z16513.1	H. sapiens	H. sapiens (D6S263) DNA segment containing (CA) repeat; clone AFM066xf7; single read	Z16513.1 H. sapiens	104	0
Z17245.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM070ya9; single read	Z17245.1 H. sapiens	387	0
Z16519.1	H. sapiens	H. sapiens (D7S482) DNA segment containing (CA) repeat; clone AFM070yc1; single read	Z16519.1 H. sapiens	210	0
Z16524.1	H. sapiens	H. sapiens (D8S256) DNA segment containing (CA) repeat; clone AFM073yb7; single read	Z16524.1 H. sapiens	337	0
Z16529.1	H. sapiens	H. sapiens (D11S903) DNA segment containing (CA) repeat; clone AFM077xe1; single read	Z16529.1 H. sapiens	144	0
Z16531.1	H. sapiens	H. sapiens (D2S119) DNA segment containing (CA) repeat; clone AFM077yb7; single read	Z16531.1 H. sapiens	262	0
Z16533.1	H. sapiens	H. sapiens (D22S284) DNA segment containing (CA) repeat; clone AFM078wc5; single read	Z16533.1 H. sapiens	124	0
Z16534.1	H. sapiens	H. sapiens (D1S199) DNA segment containing (CA) repeat; clone AFM078yg5; single read	Z16534.1 H. sapiens	164	0
Z17246.1	H. sapiens	H. sapiens (DXS983) DNA segment containing (CA) repeat; clone AFM078za1; single read	Z17246.1 H. sapiens	199	0
Z16537.1	H. sapiens	H. sapiens (D16S406) DNA segment containing (CA) repeat; clone AFM079yh3; single read	Z16537.1 H. sapiens	280	0
Z16538.1	H. sapiens	H. sapiens (D6S264) DNA segment containing (CA) repeat; clone AFM079zb7; single read	Z16538.1 H. sapiens	174	0
Z16542.1	H. sapiens	H. sapiens (D5S397) DNA segment containing (CA) repeat; clone AFM080xh11; single read	Z16542.1 H. sapiens	313	0
Z16543.1	H. sapiens	H. sapiens (D3S1264) DNA segment containing (CA) repeat; clone AFM081yh3; single read	Z16543.1 H. sapiens	263	0
Z16545.1	H. sapiens	H. sapiens (D2S121) DNA segment containing (CA) repeat; clone AFM087xa1; single read	Z16545.1 H. sapiens	213	0
Z16547.1	H. sapiens	H. sapiens (D3S1265) DNA segment containing (CA) repeat; clone AFM087yb7; single read	Z16547.1 H. sapiens	289	0
Z16548.1	H. sapiens	H. sapiens (D7S484) DNA segment containing (CA) repeat; clone AFM087yd11; single read	Z16548.1 H. sapiens	147	0
Z16549.1	H. sapiens	H. sapiens (D9S161) DNA segment containing (CA) repeat; clone AFM087yd3; single read	Z16549.1 H. sapiens	138	0
Z17332.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM092xb7k; single read	Z17332.1 H. sapiens	180	0
Z16554.1	H. sapiens	H. sapiens (D1S201) DNA segment containing (CA) repeat; clone AFM094tb7; single read	Z16554.1 H. sapiens	391	0
Z16555.1	H. sapiens	H. sapiens (D10S192) DNA segment containing (CA) repeat; clone AFM094tc9; single read	Z16555.1 H. sapiens	317	0
Z16556.1	H. sapiens	H. sapiens (D2S124) DNA segment containing (CA) repeat; clone AFM094zc9; single read	Z16556.1 H. sapiens	300	0
Z16557.1	H. sapiens	H. sapiens (D1S202) DNA segment containing (CA) repeat; clone AFM095ta5; single read	Z16557.1 H. sapiens	201	0
Z16558.1	H. sapiens	H. sapiens (D17S787) DNA segment containing (CA) repeat; clone AFM095tc5; single read	Z16558.1 H. sapiens	387	0
Z16559.1	H. sapiens	H. sapiens (D1S203) DNA segment containing (CA) repeat; clone AFM095wc9; single read	Z16559.1 H. sapiens	196	0
Z16564.1	H. sapiens	H. sapiens (D17S788) DNA segment containing (CA) repeat; clone AFM095zd11; single read	Z16564.1 H. sapiens	242	0
Z16567.1	H. sapiens	H. sapiens (D7S486) DNA segment containing (CA) repeat; clone AFM098xg9; single read	Z16567.1 H. sapiens	284	0
Z16569.1	H. sapiens	H. sapiens (D6S265) DNA segment containing (CA) repeat; clone AFM101xa1; single read	Z16569.1 H. sapiens	237	0
Z16583.1	H. sapiens	H. sapiens (D17S789) DNA segment containing (CA) repeat; clone AFM107yb8; single read	Z16583.1 H. sapiens	312	0
Z16584.1	H. sapiens	H. sapiens (D5S399) DNA segment containing (CA) repeat; clone AFM108xe3; single read	Z16584.1 H. sapiens	207	0
Z16590.1	H. sapiens	H. sapiens (D5S400) DNA segment containing (CA) repeat; clone AFM112yb6; single read	Z16590.1 H. sapiens	278	0
Z16591.1	H. sapiens	H. sapiens (D2S125) DNA segment containing (CA) repeat; clone AFM112yd4; single read	Z16591.1 H. sapiens	268	0
Z16593.1	H. sapiens	H. sapiens (D7S488) DNA segment containing (CA) repeat; clone AFM113xc11; single read	Z16593.1 H. sapiens	167	0
Z16598.1	H. sapiens	H. sapiens (D10S196) DNA segment containing (CA) repeat; clone AFM115xf2; single read	Z16598.1 H. sapiens	241	0
Z16599.1	H. sapiens	H. sapiens (D6S268) DNA segment containing (CA) repeat; clone AFM115xh2; single read	Z16599.1 H. sapiens	256	0
Z16600.1	H. sapiens	H. sapiens (D9S162) DNA segment containing (CA) repeat; clone AFM115yb4; single read	Z16600.1 H. sapiens	218	0
Z16601.1	H. sapiens	H. sapiens (D1S207) DNA segment containing (CA) repeat; clone AFM116xb2; single read	Z16601.1 H. sapiens	270	0
Z16602.1	H. sapiens	H. sapiens (D12S84) DNA segment containing (CA) repeat; clone AFM116xb8; single read	Z16602.1 H. sapiens	230	0
Z17249.1	H. sapiens	H. sapiens DNA segment containing (CA) repeat; clone AFM116xf8; single read	Z17249.1 H. sapiens	410	0
Z16609.1	H. sapiens	H. sapiens (D2S126) DNA segment containing (CA) repeat; clone AFM119xc7; single read	Z16609.1 H. sapiens	378	0
Z16610.1	H. sapiens	H. sapiens (D2S127) DNA segment containing (CA) repeat; clone AFM119xd2; single read	Z16610.1 H. sapiens	360	0
Z16612.1	H. sapiens	H. sapiens (D19S210) DNA segment containing (CA) repeat; clone AFM119xh6; single read	Z16612.1 H. sapiens	232	0
Z16623.1	H. sapiens	H. sapiens (D9S164) DNA segment containing (CA) repeat; clone AFM122xf4; single read	Z16623.1 H. sapiens	207	0
Z16624.1	H. sapiens	H. sapiens (D12S85) DNA segment containing (CA) repeat; clone AFM122xf6; single read	Z16624.1 H. sapiens	176	0
Z16625.1	H. sapiens	H. sapiens (D4S397) DNA segment containing (CA) repeat; clone AFM123xa9; single read	Z16625.1 H. sapiens	238	0
Z16626.1	H. sapiens	H. sapiens (DXS988) DNA segment containing (CA) repeat; clone AFM123xd4; single read	Z16626.1 H. sapiens	160	0
Z16627.1	H. sapiens	H. sapiens (D6S269) DNA segment containing (CA) repeat; clone AFM123xe1; single read	Z16627.1 H. sapiens	198	0
